slice_type,slice_value,count,label_0,label_1
sequence,sequence_available,10725,0,10725
sequence,sequence_unavailable,404945,402203,2742
source,auto_capture_hf,533,0,533
source,cesnet_miner22,10000,0,10000
source,cj_sniffer,218,0,218
source,hikari2021,229089,229089,0
source,iot23_mcfp,173114,173114,0
source,mineshark_artifact,2716,0,2716
source_tls_sequence,auto_capture_hf__non_tls__sequence_available,426,0,426
source_tls_sequence,auto_capture_hf__non_tls__sequence_unavailable,23,0,23
source_tls_sequence,auto_capture_hf__tls__sequence_available,84,0,84
source_tls_sequence,cesnet_miner22__non_tls__sequence_available,10000,0,10000
source_tls_sequence,cj_sniffer__non_tls__sequence_available,215,0,215
source_tls_sequence,cj_sniffer__non_tls__sequence_unavailable,3,0,3
source_tls_sequence,hikari2021__tls__sequence_unavailable,229089,229089,0
source_tls_sequence,iot23_mcfp__non_tls__sequence_unavailable,173114,173114,0
source_tls_sequence,mineshark_artifact__non_tls__sequence_unavailable,2716,0,2716
tls,non_tls,186497,173114,13383
tls,tls,229173,229089,84
