regime,heldout_source,feature_group,metric,in_source_value,cross_source_value,gap,mean_drift_over_group,n_drift_features
mining_holdout,auto_capture_hf,flow_only,recall_pos,0.9981,0.1595,0.8387,0.805,14
mining_holdout,auto_capture_hf,flow_timing,recall_pos,0.9991,0.9568,0.0422,0.5242,41
mining_holdout,auto_capture_hf,flow_tls,recall_pos,0.9995,0.0225,0.977,0.3201,42
mining_holdout,auto_capture_hf,flow_timing_tls,recall_pos,0.9991,0.9568,0.0422,0.3479,69
mining_holdout,cesnet_miner22,flow_only,recall_pos,0.9981,0.5023,0.4958,0.7923,14
mining_holdout,cesnet_miner22,flow_timing,recall_pos,0.9991,1.0,-0.0009,0.7894,41
mining_holdout,cesnet_miner22,flow_tls,recall_pos,0.9995,0.5449,0.4546,0.3072,42
mining_holdout,cesnet_miner22,flow_timing_tls,recall_pos,0.9991,1.0,-0.0009,0.501,69
mining_holdout,cj_sniffer,flow_only,recall_pos,0.9981,0.8991,0.0991,0.7641,14
mining_holdout,cj_sniffer,flow_timing,recall_pos,0.9991,0.9862,0.0128,0.4992,41
mining_holdout,cj_sniffer,flow_tls,recall_pos,0.9995,0.9174,0.0821,0.3256,42
mining_holdout,cj_sniffer,flow_timing_tls,recall_pos,0.9991,0.9862,0.0128,0.3441,69
benign_holdout,hikari2021,flow_only,fpr,0.0004,0.6081,0.6077,0.7777,14
benign_holdout,hikari2021,flow_timing,fpr,0.0,0.0,0.0,0.3927,41
benign_holdout,hikari2021,flow_tls,fpr,0.0003,0.6473,0.647,0.4321,42
benign_holdout,hikari2021,flow_timing_tls,fpr,0.0,0.0,0.0,0.3415,69
benign_holdout,iot23_mcfp,flow_only,fpr,0.0004,0.9981,0.9977,0.8273,14
benign_holdout,iot23_mcfp,flow_timing,fpr,0.0,0.0378,0.0378,0.3977,41
benign_holdout,iot23_mcfp,flow_tls,fpr,0.0003,1.0,0.9997,0.3174,42
benign_holdout,iot23_mcfp,flow_timing_tls,fpr,0.0,1.0,1.0,0.2664,69
