group,source_a,source_b,mean_jsd,median_jsd,max_jsd,n_features
certificate,auto_capture_hf,cesnet_miner22,0.0,0.0,0.0,10
certificate,auto_capture_hf,cj_sniffer,0.0,0.0,0.0,10
certificate,auto_capture_hf,hikari2021,0.0,0.0,0.0,10
certificate,auto_capture_hf,iot23_mcfp,0.0,0.0,0.0,10
certificate,cesnet_miner22,cj_sniffer,0.0,0.0,0.0,10
certificate,cesnet_miner22,hikari2021,0.0,0.0,0.0,10
certificate,cesnet_miner22,iot23_mcfp,0.0,0.0,0.0,10
certificate,cj_sniffer,hikari2021,0.0,0.0,0.0,10
certificate,cj_sniffer,iot23_mcfp,0.0,0.0,0.0,10
certificate,hikari2021,iot23_mcfp,0.0,0.0,0.0,10
flow,auto_capture_hf,cesnet_miner22,0.8238,0.8479,0.9256,13
flow,auto_capture_hf,cj_sniffer,0.8189,0.8224,0.9583,13
flow,auto_capture_hf,hikari2021,0.7995,0.8502,0.8928,13
flow,auto_capture_hf,iot23_mcfp,0.7776,0.8711,0.9225,13
flow,cesnet_miner22,cj_sniffer,0.7511,0.756,0.8932,13
flow,cesnet_miner22,hikari2021,0.7208,0.753,0.9727,13
flow,cesnet_miner22,iot23_mcfp,0.8735,0.9243,0.9778,13
flow,cj_sniffer,hikari2021,0.7094,0.7464,0.8919,13
flow,cj_sniffer,iot23_mcfp,0.777,0.8574,0.9572,13
flow,hikari2021,iot23_mcfp,0.8811,0.9439,0.9646,13
timing,auto_capture_hf,cesnet_miner22,0.8146,0.8631,0.9923,27
timing,auto_capture_hf,cj_sniffer,0.7416,0.8258,0.9351,27
timing,auto_capture_hf,hikari2021,0.0,0.0,0.0,27
timing,auto_capture_hf,iot23_mcfp,0.0,0.0,0.0,27
timing,cesnet_miner22,cj_sniffer,0.7448,0.7846,0.9606,27
timing,cesnet_miner22,hikari2021,0.8295,0.933,1.0,27
timing,cesnet_miner22,iot23_mcfp,0.7632,0.7301,1.0,27
timing,cj_sniffer,hikari2021,0.0,0.0,0.0,27
timing,cj_sniffer,iot23_mcfp,0.0,0.0,0.0,27
timing,hikari2021,iot23_mcfp,0.0,0.0,0.0,27
tls,auto_capture_hf,cesnet_miner22,0.0,0.0,0.0,17
tls,auto_capture_hf,cj_sniffer,0.257,0.0,1.0,17
tls,auto_capture_hf,hikari2021,0.293,0.0193,0.97,17
tls,auto_capture_hf,iot23_mcfp,0.0,0.0,0.0,17
tls,cesnet_miner22,cj_sniffer,0.0,0.0,0.0,17
tls,cesnet_miner22,hikari2021,0.4678,0.1304,0.9978,17
tls,cesnet_miner22,iot23_mcfp,0.0,0.0,0.0,17
tls,cj_sniffer,hikari2021,0.4702,0.1304,0.9996,17
tls,cj_sniffer,iot23_mcfp,0.0,0.0,0.0,17
tls,hikari2021,iot23_mcfp,0.4568,0.0,0.9978,17
