feature,group,source_a,source_b,jsd
duration,flow,auto_capture_hf,cesnet_miner22,0.867742
duration,flow,auto_capture_hf,cj_sniffer,0.935262
duration,flow,auto_capture_hf,hikari2021,0.854227
duration,flow,auto_capture_hf,iot23_mcfp,0.91727
duration,flow,cesnet_miner22,cj_sniffer,0.885865
duration,flow,cesnet_miner22,hikari2021,0.783691
duration,flow,cesnet_miner22,iot23_mcfp,0.952748
duration,flow,cj_sniffer,hikari2021,0.848458
duration,flow,cj_sniffer,iot23_mcfp,0.957175
duration,flow,hikari2021,iot23_mcfp,0.910222
proto,flow,auto_capture_hf,cesnet_miner22,
proto,flow,auto_capture_hf,cj_sniffer,
proto,flow,auto_capture_hf,hikari2021,
proto,flow,auto_capture_hf,iot23_mcfp,
proto,flow,cesnet_miner22,cj_sniffer,
proto,flow,cesnet_miner22,hikari2021,
proto,flow,cesnet_miner22,iot23_mcfp,
proto,flow,cj_sniffer,hikari2021,
proto,flow,cj_sniffer,iot23_mcfp,
proto,flow,hikari2021,iot23_mcfp,
src_port,flow,auto_capture_hf,cesnet_miner22,0.538144
src_port,flow,auto_capture_hf,cj_sniffer,0.62522
src_port,flow,auto_capture_hf,hikari2021,0.351653
src_port,flow,auto_capture_hf,iot23_mcfp,0.552038
src_port,flow,cesnet_miner22,cj_sniffer,0.407683
src_port,flow,cesnet_miner22,hikari2021,0.482335
src_port,flow,cesnet_miner22,iot23_mcfp,0.570004
src_port,flow,cj_sniffer,hikari2021,0.596315
src_port,flow,cj_sniffer,iot23_mcfp,0.665684
src_port,flow,hikari2021,iot23_mcfp,0.398187
dst_port,flow,auto_capture_hf,cesnet_miner22,0.827899
dst_port,flow,auto_capture_hf,cj_sniffer,0.958279
dst_port,flow,auto_capture_hf,hikari2021,0.778847
dst_port,flow,auto_capture_hf,iot23_mcfp,0.834485
dst_port,flow,cesnet_miner22,cj_sniffer,0.893232
dst_port,flow,cesnet_miner22,hikari2021,0.972677
dst_port,flow,cesnet_miner22,iot23_mcfp,0.893403
dst_port,flow,cj_sniffer,hikari2021,0.0
dst_port,flow,cj_sniffer,iot23_mcfp,0.894593
dst_port,flow,hikari2021,iot23_mcfp,0.952537
bytes_total,flow,auto_capture_hf,cesnet_miner22,0.925552
bytes_total,flow,auto_capture_hf,cj_sniffer,0.855536
bytes_total,flow,auto_capture_hf,hikari2021,0.888623
bytes_total,flow,auto_capture_hf,iot23_mcfp,0.907983
bytes_total,flow,cesnet_miner22,cj_sniffer,0.702631
bytes_total,flow,cesnet_miner22,hikari2021,0.781249
bytes_total,flow,cesnet_miner22,iot23_mcfp,0.977158
bytes_total,flow,cj_sniffer,hikari2021,0.746402
bytes_total,flow,cj_sniffer,iot23_mcfp,0.90458
bytes_total,flow,hikari2021,iot23_mcfp,0.963434
bytes_fwd,flow,auto_capture_hf,cesnet_miner22,0.833832
bytes_fwd,flow,auto_capture_hf,cj_sniffer,0.884136
bytes_fwd,flow,auto_capture_hf,hikari2021,0.883339
bytes_fwd,flow,auto_capture_hf,iot23_mcfp,0.922541
bytes_fwd,flow,cesnet_miner22,cj_sniffer,0.720006
bytes_fwd,flow,cesnet_miner22,hikari2021,0.725741
bytes_fwd,flow,cesnet_miner22,iot23_mcfp,0.977803
bytes_fwd,flow,cj_sniffer,hikari2021,0.745262
bytes_fwd,flow,cj_sniffer,iot23_mcfp,0.929649
bytes_fwd,flow,hikari2021,iot23_mcfp,0.954683
bytes_bwd,flow,auto_capture_hf,cesnet_miner22,0.88992
bytes_bwd,flow,auto_capture_hf,cj_sniffer,0.837047
bytes_bwd,flow,auto_capture_hf,hikari2021,0.860166
bytes_bwd,flow,auto_capture_hf,iot23_mcfp,0.872929
bytes_bwd,flow,cesnet_miner22,cj_sniffer,0.755952
bytes_bwd,flow,cesnet_miner22,hikari2021,0.756229
bytes_bwd,flow,cesnet_miner22,iot23_mcfp,0.975385
bytes_bwd,flow,cj_sniffer,hikari2021,0.740052
bytes_bwd,flow,cj_sniffer,iot23_mcfp,0.852258
bytes_bwd,flow,hikari2021,iot23_mcfp,0.964631
packets_total,flow,auto_capture_hf,cesnet_miner22,0.799495
packets_total,flow,auto_capture_hf,cj_sniffer,0.822403
packets_total,flow,auto_capture_hf,hikari2021,0.871573
packets_total,flow,auto_capture_hf,iot23_mcfp,0.897863
packets_total,flow,cesnet_miner22,cj_sniffer,0.683958
packets_total,flow,cesnet_miner22,hikari2021,0.646799
packets_total,flow,cesnet_miner22,iot23_mcfp,0.942504
packets_total,flow,cj_sniffer,hikari2021,0.694914
packets_total,flow,cj_sniffer,iot23_mcfp,0.928873
packets_total,flow,hikari2021,iot23_mcfp,0.954213
packets_fwd,flow,auto_capture_hf,cesnet_miner22,0.775784
packets_fwd,flow,auto_capture_hf,cj_sniffer,0.747692
packets_fwd,flow,auto_capture_hf,hikari2021,0.85016
packets_fwd,flow,auto_capture_hf,iot23_mcfp,0.871128
packets_fwd,flow,cesnet_miner22,cj_sniffer,0.686809
packets_fwd,flow,cesnet_miner22,hikari2021,0.612032
packets_fwd,flow,cesnet_miner22,iot23_mcfp,0.924269
packets_fwd,flow,cj_sniffer,hikari2021,0.751928
packets_fwd,flow,cj_sniffer,iot23_mcfp,0.911304
packets_fwd,flow,hikari2021,iot23_mcfp,0.943939
packets_bwd,flow,auto_capture_hf,cesnet_miner22,0.847927
packets_bwd,flow,auto_capture_hf,cj_sniffer,0.796675
packets_bwd,flow,auto_capture_hf,hikari2021,0.892796
packets_bwd,flow,auto_capture_hf,iot23_mcfp,0.874025
packets_bwd,flow,cesnet_miner22,cj_sniffer,0.707712
packets_bwd,flow,cesnet_miner22,hikari2021,0.566209
packets_bwd,flow,cesnet_miner22,iot23_mcfp,0.93713
packets_bwd,flow,cj_sniffer,hikari2021,0.773159
packets_bwd,flow,cj_sniffer,iot23_mcfp,0.85742
packets_bwd,flow,hikari2021,iot23_mcfp,0.951112
byte_rate,flow,auto_capture_hf,cesnet_miner22,0.82954
byte_rate,flow,auto_capture_hf,cj_sniffer,0.839712
byte_rate,flow,auto_capture_hf,hikari2021,0.789235
byte_rate,flow,auto_capture_hf,iot23_mcfp,0.75226
byte_rate,flow,cesnet_miner22,cj_sniffer,0.893233
byte_rate,flow,cesnet_miner22,hikari2021,0.848248
byte_rate,flow,cesnet_miner22,iot23_mcfp,0.858101
