feature,group,source_a,source_b,jsd
iat_zero_ratio,timing,cesnet_miner22,hikari2021,1.0
iat_zero_ratio,timing,cesnet_miner22,iot23_mcfp,1.0
tls_version_hash64,tls,auto_capture_hf,cj_sniffer,1.0
burst_count,timing,cesnet_miner22,hikari2021,1.0
cipher_hash64,tls,auto_capture_hf,cj_sniffer,1.0
iat_small_ratio_10ms,timing,cesnet_miner22,hikari2021,1.0
sni_num_labels,tls,cj_sniffer,hikari2021,0.999581
tls_version_hash64,tls,cj_sniffer,hikari2021,0.997817
tls_version_hash64,tls,hikari2021,iot23_mcfp,0.997817
tls_version_id,tls,cj_sniffer,hikari2021,0.997794
tls_version_id,tls,hikari2021,iot23_mcfp,0.997794
pkt_len_min,timing,auto_capture_hf,cesnet_miner22,0.992326
cipher_hash64,tls,hikari2021,iot23_mcfp,0.981828
bytes_fwd,flow,cesnet_miner22,iot23_mcfp,0.977803
bytes_total,flow,cesnet_miner22,iot23_mcfp,0.977158
sni_tld_hash64,tls,auto_capture_hf,hikari2021,0.969986
iat_p10,timing,auto_capture_hf,cesnet_miner22,0.966712
pkt_len_p50,timing,auto_capture_hf,cesnet_miner22,0.964337
pkt_len_min,timing,cesnet_miner22,cj_sniffer,0.960602
dst_port,flow,auto_capture_hf,cj_sniffer,0.958279
duration,flow,cj_sniffer,iot23_mcfp,0.957175
pkt_len_p10,timing,cesnet_miner22,cj_sniffer,0.95426
sni_entropy,tls,auto_capture_hf,hikari2021,0.930822
bytes_fwd,flow,cj_sniffer,iot23_mcfp,0.929649
packets_total,flow,cj_sniffer,iot23_mcfp,0.928873
sni_len,tls,auto_capture_hf,hikari2021,0.927575
bytes_fwd,flow,auto_capture_hf,iot23_mcfp,0.922541
duration,flow,auto_capture_hf,iot23_mcfp,0.91727
bytes_total,flow,auto_capture_hf,iot23_mcfp,0.907983
periodicity_fft_peak,timing,cesnet_miner22,cj_sniffer,0.904997
